"Station Name","CHARLOTTETOWN CDA CS"
"Province","PRINCE EDWARD ISLAND"
"Latitude","46.25"
"Longitude","-63.13"
"Elevation","22.60"
"Climate Identifier","8300401"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2000-01-01","2000","01","01","","","M","-15.2","","","M","","M","","M","","","","","0.0","","14","","","","",""
"2000-01-02","2000","01","02","","6.6","","-7.3","","-0.4","","18.4","","0.0","","","","","","","M","13","","","","",""
"2000-01-03","2000","01","03","","","M","1.0","","","M","","M","","M","","","","","1.3","","11","","","","",""
"2000-01-04","2000","01","04","","12.7","","-3.9","","4.4","","13.6","","0.0","","","","","","","M","9","","","","",""
"2000-01-05","2000","01","05","","7.0","","-3.6","","1.7","","16.3","","0.0","","","","","","0.0","","10","","","","",""
"2000-01-06","2000","01","06","","-1.7","","-11.4","","-6.6","","24.6","","0.0","","","","","","0.0","","9","","","","",""
"2000-01-07","2000","01","07","","4.9","","-9.7","","-2.4","","20.4","","0.0","","","","","","","M","8","","","","",""
"2000-01-08","2000","01","08","","-2.6","","-4.3","","-3.5","","21.5","","0.0","","","","","","0.8","","9","","","","",""
"2000-01-09","2000","01","09","","3.3","","-9.2","","-3.0","","21.0","","0.0","","","","","","0.0","T","10","","","","",""
"2000-01-10","2000","01","10","","","M","-3.4","","","M","","M","","M","","","","","1.7","","14","","","","",""
"2000-01-11","2000","01","11","","8.9","","-3.6","","2.7","","15.3","","0.0","","","","","","16.2","","8","","","","",""
"2000-01-12","2000","01","12","","2.0","","-0.4","","0.8","","17.2","","0.0","","","","","","2.5","","9","","","","",""
"2000-01-13","2000","01","13","","-6.7","","-9.3","","-8.0","","26.0","","0.0","","","","","","0.0","T","9","","","","",""
"2000-01-14","2000","01","14","","-13.0","","-14.3","","-13.7","","31.7","","0.0","","","","","","0.2","","9","","","","",""
"2000-01-15","2000","01","15","","-15.2","","-17.3","","-16.3","","34.3","","0.0","","","","","","0.0","","10","","","","",""
"2000-01-16","2000","01","16","","-5.3","","-16.9","","-11.1","","29.1","","0.0","","","","","","0.0","","10","","","","",""
"2000-01-17","2000","01","17","","-0.5","","-10.7","","-5.6","","23.6","","0.0","","","","","","3.3","","9","","","","",""
"2000-01-18","2000","01","18","","-3.0","","-4.5","","-3.8","","21.8","","0.0","","","","","","0.2","","11","","","","",""
"2000-01-19","2000","01","19","","-7.9","","-12.2","","-10.1","","28.1","","0.0","","","","","","0.0","","13","","","","",""
"2000-01-20","2000","01","20","","-6.4","","-18.2","","-12.3","","30.3","","0.0","","","","","","0.6","","12","","","","",""
"2000-01-21","2000","01","21","","2.3","","-17.2","","-7.5","","25.5","","0.0","","","","","","12.3","","15","","","","",""
"2000-01-22","2000","01","22","","-12.9","","-15.5","","-14.2","","32.2","","0.0","","","","","","0.8","","16","","","","",""
"2000-01-23","2000","01","23","","-11.1","","-17.9","","-14.5","","32.5","","0.0","","","","","","0.0","","16","","","","",""
"2000-01-24","2000","01","24","","-0.7","","-17.6","","-9.2","","27.2","","0.0","","","","","","2.2","","16","","","","",""
"2000-01-25","2000","01","25","","10.6","","-2.3","","4.2","","13.8","","0.0","","","","","","30.7","","20","","","","",""
"2000-01-26","2000","01","26","","11.9","","-0.3","","5.8","","12.2","","0.0","","","","","","6.1","","","M","","","",""
"2000-01-27","2000","01","27","","2.2","","0.3","","1.3","","16.7","","0.0","","","","","","6.6","","10","","","","",""
"2000-01-28","2000","01","28","","-8.4","","-12.0","","-10.2","","28.2","","0.0","","","","","","0.0","","13","","","","",""
"2000-01-29","2000","01","29","","-3.9","","-12.2","","-8.1","","26.1","","0.0","","","","","","0.2","","14","","","","",""
"2000-01-30","2000","01","30","","-2.9","","-10.2","","-6.6","","24.6","","0.0","","","","","","0.0","","13","","","","",""
"2000-01-31","2000","01","31","","5.8","","-10.0","","-2.1","","20.1","","0.0","","","","","","7.7","","14","","","","",""
"2000-02-01","2000","02","01","","1.7","","-1.4","","0.2","","17.8","","0.0","","","","","","0.0","","14","","","","",""
"2000-02-02","2000","02","02","","-3.9","","-5.5","","-4.7","","22.7","","0.0","","","","","","0.8","","14","","","","",""
"2000-02-03","2000","02","03","","-3.7","","-6.3","","-5.0","","23.0","","0.0","","","","","","0.2","","14","","","","",""
"2000-02-04","2000","02","04","","-10.1","","-13.6","","-11.9","","29.9","","0.0","","","","","","0.0","","14","","","","",""
"2000-02-05","2000","02","05","","-4.7","","-18.5","","-11.6","","29.6","","0.0","","","","","","0.0","","14","","","","",""
"2000-02-06","2000","02","06","","-9.9","","-11.6","","-10.8","","28.8","","0.0","","","","","","0.0","","14","","","","",""
"2000-02-07","2000","02","07","","-1.6","","-15.8","","-8.7","","26.7","","0.0","","","","","","0.7","","13","","","","",""
"2000-02-08","2000","02","08","","-3.5","","-18.9","","-11.2","","29.2","","0.0","","","","","","0.0","","16","","","","",""
"2000-02-09","2000","02","09","","3.4","","-15.1","","-5.9","","23.9","","0.0","","","","","","0.7","","14","","","","",""
"2000-02-10","2000","02","10","","-8.6","","-10.3","","-9.5","","27.5","","0.0","","","","","","0.0","","13","","","","",""
"2000-02-11","2000","02","11","","1.2","","-13.3","","-6.1","","24.1","","0.0","","","","","","14.1","","13","","","","",""
"2000-02-12","2000","02","12","","-8.6","","-9.6","","-9.1","","27.1","","0.0","","","","","","0.0","","17","","","","",""
"2000-02-13","2000","02","13","","-3.0","","-15.9","","-9.5","","27.5","","0.0","","","","","","0.0","","17","","","","",""
"2000-02-14","2000","02","14","","7.9","","-7.3","","0.3","","17.7","","0.0","","","","","","23.2","","17","","","","",""
"2000-02-15","2000","02","15","","0.8","","-4.0","","-1.6","","19.6","","0.0","","","","","","0.0","","16","","","","",""
"2000-02-16","2000","02","16","","2.1","","-8.3","","-3.1","","21.1","","0.0","","","","","","6.5","","16","","","","",""
"2000-02-17","2000","02","17","","-3.6","","-10.5","","-7.1","","25.1","","0.0","","","","","","0.8","","17","","","","",""
"2000-02-18","2000","02","18","","-8.5","","-19.2","","-13.9","","31.9","","0.0","","","","","","0.0","","16","","","","",""
"2000-02-19","2000","02","19","","-4.7","","-12.8","","-8.8","","26.8","","0.0","","","","","","0.0","T","16","","","","",""
"2000-02-20","2000","02","20","","-2.6","","-11.5","","-7.1","","25.1","","0.0","","","","","","0.0","","15","","","","",""
"2000-02-21","2000","02","21","","-5.8","","-7.9","","-6.9","","24.9","","0.0","","","","","","0.0","","16","","","","",""
"2000-02-22","2000","02","22","","-2.8","","-12.9","","-7.9","","25.9","","0.0","","","","","","0.0","","16","","","","",""
"2000-02-23","2000","02","23","","5.2","","-11.2","","-3.0","","21.0","","0.0","","","","","","0.0","","16","","","","",""
"2000-02-24","2000","02","24","","8.1","","2.5","","5.3","","12.7","","0.0","","","","","","0.0","T","13","","","","",""
"2000-02-25","2000","02","25","","-4.7","","-5.8","","-5.3","","23.3","","0.0","","","","","","0.2","","11","","","","",""
"2000-02-26","2000","02","26","","1.5","","-10.6","","-4.6","","22.6","","0.0","","","","","","0.0","","11","","","","",""
"2000-02-27","2000","02","27","","9.6","","-2.7","","3.5","","14.5","","0.0","","","","","","0.0","","12","","","","",""
"2000-02-28","2000","02","28","","18.6","","5.0","","11.8","","6.2","","0.0","","","","","","0.0","","8","","","","",""
"2000-02-29","2000","02","29","","13.1","","7.6","","10.4","","7.6","","0.0","","","","","","0.0","T","10","","","","",""
"2000-03-01","2000","03","01","","1.0","","0.2","","0.6","","17.4","","0.0","","","","","","0.2","","8","","","","",""
"2000-03-02","2000","03","02","","4.0","","-1.3","","1.4","","16.6","","0.0","","","","","","0.0","","9","","","","",""
"2000-03-03","2000","03","03","","2.6","","0.4","","1.5","","16.5","","0.0","","","","","","2.6","","9","","","","",""
"2000-03-04","2000","03","04","","1.5","","0.3","","0.9","","17.1","","0.0","","","","","","0.9","","10","","","","",""
"2000-03-05","2000","03","05","","2.1","","-0.2","","1.0","","17.0","","0.0","","","","","","3.0","","11","","","","",""
"2000-03-06","2000","03","06","","2.6","","0.7","","1.7","","16.3","","0.0","","","","","","1.2","","14","","","","",""
"2000-03-07","2000","03","07","","2.6","","-3.8","","-0.6","","18.6","","0.0","","","","","","0.6","","12","","","","",""
"2000-03-08","2000","03","08","","1.1","","-2.1","","-0.5","","18.5","","0.0","","","","","","0.0","","14","","","","",""
"2000-03-09","2000","03","09","","6.0","","-3.2","","1.4","","16.6","","0.0","","","","","","15.4","","12","","","","",""
"2000-03-10","2000","03","10","","-0.6","","-5.3","","-3.0","","21.0","","0.0","","","","","","2.3","","10","","","","",""
"2000-03-11","2000","03","11","","-1.0","","-6.6","","-3.8","","21.8","","0.0","","","","","","1.4","","12","","","","",""
"2000-03-12","2000","03","12","","10.7","","-3.7","","3.5","","14.5","","0.0","","","","","","13.8","","13","","","","",""
"2000-03-13","2000","03","13","","2.0","","-0.2","","0.9","","17.1","","0.0","","","","","","0.5","","10","","","","",""
"2000-03-14","2000","03","14","","3.2","","-6.0","","-1.4","","19.4","","0.0","","","","","","0.0","","11","","","","",""
"2000-03-15","2000","03","15","","9.7","","-1.8","","4.0","","14.0","","0.0","","","","","","0.0","","10","","","","",""
"2000-03-16","2000","03","16","","14.2","","1.4","","7.8","","10.2","","0.0","","","","","","3.2","","","M","","","",""
"2000-03-17","2000","03","17","","-0.5","","-2.0","","-1.3","","19.3","","0.0","","","","","","13.9","","15","","","","",""
"2000-03-18","2000","03","18","","-5.3","","-8.7","","-7.0","","25.0","","0.0","","","","","","0.0","","19","","","","",""
"2000-03-19","2000","03","19","","-2.4","","-8.6","","-5.5","","23.5","","0.0","","","","","","0.0","","25","","","","",""
"2000-03-20","2000","03","20","","1.3","","-8.9","","-3.8","","21.8","","0.0","","","","","","0.0","","24","","","","",""
"2000-03-21","2000","03","21","","4.2","","-4.3","","-0.1","","18.1","","0.0","","","","","","0.0","T","23","","","","",""
"2000-03-22","2000","03","22","","9.4","","-6.2","","1.6","","16.4","","0.0","","","","","","0.0","","20","","","","",""
"2000-03-23","2000","03","23","","9.5","","-1.2","","4.2","","13.8","","0.0","","","","","","0.0","","","M","","","",""
"2000-03-24","2000","03","24","","6.7","","2.6","","4.7","","13.3","","0.0","","","","","","0.0","","16","","","","",""
"2000-03-25","2000","03","25","","5.1","","-2.1","","1.5","","16.5","","0.0","","","","","","0.0","","10","","","","",""
"2000-03-26","2000","03","26","","8.3","","-0.5","","3.9","","14.1","","0.0","","","","","","0.0","","8","","","","",""
"2000-03-27","2000","03","27","","10.1","","-0.1","","5.0","","13.0","","0.0","","","","","","0.0","","9","","","","",""
"2000-03-28","2000","03","28","","12.4","","1.3","","6.9","","11.1","","0.0","","","","","","4.7","","10","","","","",""
"2000-03-29","2000","03","29","","16.8","","5.6","","11.2","","6.8","","0.0","","","","","","1.6","","11","","","","",""
"2000-03-30","2000","03","30","","10.7","","3.9","","7.3","","10.7","","0.0","","","","","","0.0","","10","","","","",""
"2000-03-31","2000","03","31","","6.0","","1.5","","3.8","","14.2","","0.0","","","","","","2.9","","9","","","","",""
"2000-04-01","2000","04","01","","7.9","","1.0","","4.5","","13.5","","0.0","","","","","","0.5","","","","","","",""
"2000-04-02","2000","04","02","","12.5","","-0.4","","6.1","","11.9","","0.0","","","","","","4.5","","","","","","",""
"2000-04-03","2000","04","03","","13.1","","6.1","","9.6","","8.4","","0.0","","","","","","0.0","","","","","","",""
"2000-04-04","2000","04","04","","12.1","","4.3","","8.2","","9.8","","0.0","","","","","","22.6","","","","","","",""
"2000-04-05","2000","04","05","","15.5","","6.5","","11.0","","7.0","","0.0","","","","","","2.3","","","","","","",""
"2000-04-06","2000","04","06","","8.7","","0.6","","4.7","","13.3","","0.0","","","","","","0.0","","","","","","",""
"2000-04-07","2000","04","07","","8.0","","2.5","","5.3","","12.7","","0.0","","","","","","0.0","","","","","","",""
"2000-04-08","2000","04","08","","15.5","","-0.2","","7.7","","10.3","","0.0","","","","","","0.0","","","","","","",""
"2000-04-09","2000","04","09","","16.1","","8.4","","12.3","","5.7","","0.0","","","","","","7.1","","","","","","",""
"2000-04-10","2000","04","10","","6.9","","2.8","","4.9","","13.1","","0.0","","","","","","0.4","","","","","","",""
"2000-04-11","2000","04","11","","5.6","","-1.0","","2.3","","15.7","","0.0","","","","","","0.0","","","","","","",""
"2000-04-12","2000","04","12","","7.7","","-1.3","","3.2","","14.8","","0.0","","","","","","7.0","","","","","","",""
"2000-04-13","2000","04","13","","4.1","","-0.3","","1.9","","16.1","","0.0","","","","","","0.2","","","","","","",""
"2000-04-14","2000","04","14","","7.8","","-0.9","","3.5","","14.5","","0.0","","","","","","0.0","","","","","","",""
"2000-04-15","2000","04","15","","7.5","","5.1","","6.3","","11.7","","0.0","","","","","","1.2","","","","","","",""
"2000-04-16","2000","04","16","","2.9","","0.6","","1.8","","16.2","","0.0","","","","","","0.0","","","","","","",""
"2000-04-17","2000","04","17","","3.2","","-2.7","","0.3","","17.7","","0.0","","","","","","1.2","","","","","","",""
"2000-04-18","2000","04","18","","6.1","","-3.7","","1.2","","16.8","","0.0","","","","","","0.0","","","","","","",""
"2000-04-19","2000","04","19","","8.1","","-0.1","","4.0","","14.0","","0.0","","","","","","1.4","","","","","","",""
"2000-04-20","2000","04","20","","6.9","","-1.1","","2.9","","15.1","","0.0","","","","","","1.7","","","","","","",""
"2000-04-21","2000","04","21","","5.8","","-1.2","","2.3","","15.7","","0.0","","","","","","0.0","T","","","","","",""
"2000-04-22","2000","04","22","","8.8","","2.9","","5.9","","12.1","","0.0","","","","","","0.4","","","","","","",""
"2000-04-23","2000","04","23","","15.1","","2.4","","8.8","","9.2","","0.0","","","","","","2.6","","","","","","",""
"2000-04-24","2000","04","24","","19.0","","6.5","","12.8","","5.2","","0.0","","","","","","3.8","","","","","","",""
"2000-04-25","2000","04","25","","4.4","","-0.2","","2.1","","15.9","","0.0","","","","","","0.0","","","","","","",""
