"Station Name","IQALUIT CLIMATE"
"Province","NUNAVUT"
"Latitude","63.75"
"Longitude","-68.54"
"Elevation","33.50"
"Climate Identifier","2402592"
"WMO Identifier","71321"
"TC Identifier","XFB"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2016-01-01","2016","01","01","†","-22.4","","-28.6","","-25.5","","43.5","","0.0","","","M","","M","0.0","","14","","","","<31",""
"2016-01-02","2016","01","02","†","-22.0","","-32.9","","-27.5","","45.5","","0.0","","","M","","M","0.0","","13","","","","<31",""
"2016-01-03","2016","01","03","†","-24.1","","-32.7","","-28.4","","46.4","","0.0","","","M","","M","0.0","","12","","35","","41",""
"2016-01-04","2016","01","04","†","-25.3","","-31.4","","-28.4","","46.4","","0.0","","","M","","M","0.0","","15","","35","","44",""
"2016-01-05","2016","01","05","†","-27.5","","-33.1","","-30.3","","48.3","","0.0","","","M","","M","0.0","","14","","32","","33",""
"2016-01-06","2016","01","06","†","-28.0","","-33.5","","-30.8","","48.8","","0.0","","","M","","M","0.0","","14","","","","<31",""
"2016-01-07","2016","01","07","†","-25.7","","-31.9","","-28.8","","46.8","","0.0","","","M","","M","0.0","","14","","34","","44",""
"2016-01-08","2016","01","08","†","-22.6","","-29.0","","-25.8","","43.8","","0.0","","","M","","M","0.0","","14","","33","","43",""
"2016-01-09","2016","01","09","†","-26.7","","-32.5","","-29.6","","47.6","","0.0","","","M","","M","0.0","","14","","","","<31",""
"2016-01-10","2016","01","10","†","-9.9","","-27.1","","-18.5","","36.5","","0.0","","","M","","M","1.4","","14","","13","","39",""
"2016-01-11","2016","01","11","†","-1.8","","-10.1","","-6.0","","24.0","","0.0","","","M","","M","1.8","","21","","14","","65",""
"2016-01-12","2016","01","12","†","1.1","","-3.4","","-1.2","","19.2","","0.0","","","M","","M","2.5","","25","","10","","69",""
"2016-01-13","2016","01","13","†","-3.4","","-24.5","","-14.0","","32.0","","0.0","","","M","","M","0.0","","16","","15","","65",""
"2016-01-14","2016","01","14","†","","M","-25.0","E","","M","","M","","M","","M","","M","","M","13","","","","<31",""
"2016-01-15","2016","01","15","†","","M","-21.5","E","","M","","M","","M","","M","","M","","M","13","","11","","56",""
"2016-01-16","2016","01","16","†","-4.0","","-12.5","","-8.3","","26.3","","0.0","","","M","","M","1.6","","13","","","","<31",""
"2016-01-17","2016","01","17","†","-3.2","","-15.5","","-9.4","","27.4","","0.0","","","M","","M","0.0","","17","","32","","35",""
"2016-01-18","2016","01","18","†","-12.6","","-16.3","","-14.5","","32.5","","0.0","","","M","","M","0.0","","14","","35","","61",""
"2016-01-19","2016","01","19","†","-15.7","","-18.5","","-17.1","","35.1","","0.0","","","M","","M","0.0","","13","","34","","61",""
"2016-01-20","2016","01","20","†","-18.3","","-22.6","","-20.5","","38.5","","0.0","","","M","","M","0.0","","16","","33","","57",""
"2016-01-21","2016","01","21","†","-22.2","","-30.0","","-26.1","","44.1","","0.0","","","M","","M","0.0","","16","","33","","56",""
"2016-01-22","2016","01","22","†","-27.2","","-31.9","","-29.6","","47.6","","0.0","","","M","","M","0.0","","16","","","","<31",""
"2016-01-23","2016","01","23","†","-19.5","","-30.7","","-25.1","","43.1","","0.0","","","M","","M","0.7","","16","","","","<31",""
"2016-01-24","2016","01","24","†","-22.5","","-37.1","","-29.8","","47.8","","0.0","","","M","","M","0.2","","17","","","","<31",""
"2016-01-25","2016","01","25","†","-28.6","","-35.1","","-31.9","","49.9","","0.0","","","M","","M","0.2","","17","","","","<31",""
"2016-01-26","2016","01","26","†","-28.0","","-33.6","","-30.8","","48.8","","0.0","","","M","","M","0.2","","17","","","","<31",""
"2016-01-27","2016","01","27","†","-26.4","","-34.4","","-30.4","","48.4","","0.0","","","M","","M","0.0","","17","","35","","46",""
"2016-01-28","2016","01","28","†","-25.2","","-34.3","","-29.8","","47.8","","0.0","","","M","","M","0.2","","16","","34","","59",""
"2016-01-29","2016","01","29","†","-25.5","","-31.7","","-28.6","","46.6","","0.0","","","M","","M","0.0","","18","","","","<31",""
"2016-01-30","2016","01","30","†","-25.1","","-29.8","","-27.5","","45.5","","0.0","","","M","","M","0.0","","18","","","","<31",""
"2016-01-31","2016","01","31","†","-27.7","","-32.5","","-30.1","","48.1","","0.0","","","M","","M","0.0","","18","","","","<31",""
"2016-02-01","2016","02","01","†","-20.0","","-27.9","","-24.0","","42.0","","0.0","","","M","","M","2.2","","18","","","","<31",""
"2016-02-02","2016","02","02","†","-12.8","","-20.2","","-16.5","","34.5","","0.0","","","M","","M","1.2","","20","","32","","46",""
"2016-02-03","2016","02","03","†","-17.2","","-22.3","","-19.8","","37.8","","0.0","","","M","","M","0.0","","29","","35","","48",""
"2016-02-04","2016","02","04","†","-21.6","","-28.1","","-24.9","","42.9","","0.0","","","M","","M","0.0","","19","","34","","44",""
"2016-02-05","2016","02","05","†","-25.6","","-29.3","","-27.5","","45.5","","0.0","","","M","","M","0.2","","18","","33","","41",""
"2016-02-06","2016","02","06","†","-27.5","","-29.0","","-28.3","","46.3","","0.0","","","M","","M","0.0","","18","","34","","54",""
"2016-02-07","2016","02","07","†","-27.0","","-32.5","","-29.8","","47.8","","0.0","","","M","","M","0.0","","18","","32","","39",""
"2016-02-08","2016","02","08","†","-28.6","","-33.4","","-31.0","","49.0","","0.0","","","M","","M","0.2","","18","","","","<31",""
"2016-02-09","2016","02","09","†","-26.4","","-33.1","","-29.8","","47.8","","0.0","","","M","","M","0.2","","18","","","","<31",""
