"Station Name","TORONTO BUTTONVILLE A"
"Province","ONTARIO"
"Latitude","43.86"
"Longitude","-79.37"
"Elevation","198.10"
"Climate Identifier","615HMAK"
"WMO Identifier","71639"
"TC Identifier","YKZ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2005-01-01","2005","01","01","","3.9","","-3.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","0","","29","E","39","E"
"2005-01-02","2005","01","02","","5.6","","-4.6","","0.5","","17.5","","0.0","","13.6","","0.0","","13.6","","0","","11","E","41","E"
"2005-01-03","2005","01","03","","3.8","","0.0","","1.9","","16.1","","0.0","","0.0","","1.8","","1.6","","0","","","","<31",""
"2005-01-04","2005","01","04","","0.5","","-2.0","","-0.8","","18.8","","0.0","","0.0","","0.0","T","0.0","T","2","","","","<31",""
"2005-01-05","2005","01","05","","-1.1","","-8.1","","-4.6","","22.6","","0.0","","0.0","","0.0","T","0.0","T","1","","","","<31",""
"2005-01-06","2005","01","06","","-1.7","","-8.6","","-5.2","","23.2","","0.0","","1.2","","7.6","","8.6","","1","","27","E","50","E"
"2005-01-07","2005","01","07","","-0.7","","-6.8","","-3.8","","21.8","","0.0","","0.0","","0.0","T","0.0","T","5","","","","<31",""
"2005-01-08","2005","01","08","","-0.1","","-3.5","","-1.8","","19.8","","0.0","","0.0","","2.2","","2.2","","5","","","","<31",""
"2005-01-09","2005","01","09","","1.4","","-2.3","","-0.5","","18.5","","0.0","","0.0","","0.2","","0.2","","6","","","","<31",""
"2005-01-10","2005","01","10","","2.1","","-3.0","","-0.5","","18.5","","0.0","","0.0","T","0.0","","0.0","T","4","","28","E","46","E"
"2005-01-11","2005","01","11","","-2.9","","-5.5","","-4.2","","22.2","","0.0","","0.0","","0.0","","0.0","","4","","","","<31",""
"2005-01-12","2005","01","12","","2.5","","-4.0","","-0.8","","18.8","","0.0","","6.8","","0.0","","6.8","","3","","","","<31",""
"2005-01-13","2005","01","13","","14.9","","0.0","","7.5","","10.5","","0.0","","10.2","","0.6","","10.8","","2","","34","E","56","E"
"2005-01-14","2005","01","14","","0.4","","-10.6","","-5.1","","23.1","","0.0","","0.0","","0.2","","0.2","","0","T","27","E","46","E"
"2005-01-15","2005","01","15","","-6.7","","-11.9","","-9.3","","27.3","","0.0","","0.0","","0.0","T","0.0","T","1","","","","<31",""
"2005-01-16","2005","01","16","","-7.8","","-12.7","","-10.3","","28.3","","0.0","","0.0","","0.4","","0.4","","1","","","","<31",""
"2005-01-17","2005","01","17","","-8.5","","-19.9","","-14.2","","32.2","","0.0","","0.0","","1.0","","1.0","","1","","36","E","33","E"
"2005-01-18","2005","01","18","","-7.7","","-24.6","","-16.2","","34.2","","0.0","","0.0","","0.2","","0.2","","2","","","","<31",""
"2005-01-19","2005","01","19","","-2.8","","-10.1","","-6.5","","24.5","","0.0","","0.0","","5.8","","5.0","","4","","33","E","50","E"
"2005-01-20","2005","01","20","","-10.0","","-21.4","","-15.7","","33.7","","0.0","","0.0","","0.0","","0.0","","8","","","","<31",""
"2005-01-21","2005","01","21","","-17.6","","-25.2","","-21.4","","39.4","","0.0","","0.0","","0.0","T","0.0","T","8","","","","<31",""
"2005-01-22","2005","01","22","","-16.4","","-20.6","","-18.5","","36.5","","0.0","","0.0","","10.0","","9.8","","8","","1","E","52","E"
"2005-01-23","2005","01","23","","-14.1","","-22.3","","-18.2","","36.2","","0.0","","0.0","","0.2","","0.2","","18","","36","E","46","E"
"2005-01-24","2005","01","24","","-4.2","","-22.4","","-13.3","","31.3","","0.0","","0.0","","1.6","","1.6","","17","","24","E","33","E"
"2005-01-25","2005","01","25","","-5.2","","-11.8","","-8.5","","26.5","","0.0","","0.0","T","5.2","","5.6","","18","","","","<31",""
"2005-01-26","2005","01","26","","-9.8","","-19.9","","-14.9","","32.9","","0.0","","0.0","","0.2","","0.2","","23","","3","E","33","E"
"2005-01-27","2005","01","27","","-14.2","","-24.1","","-19.2","","37.2","","0.0","","0.0","","0.0","","0.0","","23","","","","<31",""
"2005-01-28","2005","01","28","","-7.1","","-25.1","","-16.1","","34.1","","0.0","","0.0","","0.0","","0.0","","23","","","","<31",""
"2005-01-29","2005","01","29","","-1.9","","-19.3","","-10.6","","28.6","","0.0","","0.0","","0.0","","0.0","","23","","","","<31",""
"2005-01-30","2005","01","30","","0.0","","-12.1","","-6.1","","24.1","","0.0","","0.0","","0.0","","0.0","","22","","","","<31",""
"2005-01-31","2005","01","31","","-0.1","","-16.0","","-8.1","","26.1","","0.0","","0.0","","0.0","","0.0","","20","","","","<31",""
"2005-02-01","2005","02","01","","1.6","","-16.8","","-7.6","","25.6","","0.0","","0.0","","0.0","","0.0","","20","","","","<31",""
"2005-02-02","2005","02","02","","-0.2","","-16.2","","-8.2","","26.2","","0.0","","0.0","","0.0","","0.0","","18","","","","<31",""
"2005-02-03","2005","02","03","","2.4","","-8.3","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","17","","","","<31",""
"2005-02-04","2005","02","04","","5.7","","-10.9","","-2.6","","20.6","","0.0","","0.0","","0.0","","0.0","","16","","","","<31",""
"2005-02-05","2005","02","05","","3.7","","-9.2","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","14","","","","<31",""
"2005-02-06","2005","02","06","","2.6","","-2.3","","0.2","","17.8","","0.0","","0.0","","0.0","","0.0","","12","","","","<31",""
