"Station Name","WHITEHORSE RIVERDALE"
"Province","YUKON TERRITORY"
"Latitude","60.71"
"Longitude","-135.03"
"Elevation","640.10"
"Climate Identifier","2101400"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only preliminary quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1968-01-01","1968","01","01","","-13.9","","-24.4","","-19.2","","37.2","","0.0","","","","","","","","","","","","",""
"1968-01-02","1968","01","02","","-5.0","","-20.0","","-12.5","","30.5","","0.0","","","","","","","","","","","","",""
"1968-01-03","1968","01","03","","-3.3","","-15.0","","-9.2","","27.2","","0.0","","","","","","","","","","","","",""
"1968-01-04","1968","01","04","","-13.9","","-28.3","","-21.1","","39.1","","0.0","","","","","","","","","","","","",""
"1968-01-05","1968","01","05","","-12.8","","-28.3","","-20.6","","38.6","","0.0","","","","","","","","","","","","",""
"1968-01-06","1968","01","06","","-11.7","","-15.0","","-13.4","","31.4","","0.0","","","","","","","","","","","","",""
"1968-01-07","1968","01","07","","-12.8","","-16.7","","-14.8","","32.8","","0.0","","","","","","","","","","","","",""
"1968-01-08","1968","01","08","","-18.3","","-27.8","","-23.1","","41.1","","0.0","","","","","","","","","","","","",""
"1968-01-09","1968","01","09","","-17.2","","-30.6","","-23.9","","41.9","","0.0","","","","","","","","","","","","",""
"1968-01-10","1968","01","10","","-23.3","","-34.4","","-28.9","","46.9","","0.0","","","","","","","","","","","","",""
"1968-01-11","1968","01","11","","-33.3","","-41.1","","-37.2","","55.2","","0.0","","","","","","","","","","","","",""
"1968-01-12","1968","01","12","","-34.4","","-43.3","","-38.9","","56.9","","0.0","","","","","","","","","","","","",""
"1968-01-13","1968","01","13","","-30.0","","-43.3","","-36.7","","54.7","","0.0","","","","","","","","","","","","",""
"1968-01-14","1968","01","14","","-23.3","","-32.2","","-27.8","","45.8","","0.0","","","","","","","","","","","","",""
"1968-01-15","1968","01","15","","-22.8","","-25.0","","-23.9","","41.9","","0.0","","","","","","","","","","","","",""
"1968-01-16","1968","01","16","","-26.1","","-33.3","","-29.7","","47.7","","0.0","","","","","","","","","","","","",""
"1968-01-17","1968","01","17","","-26.7","","-32.2","","-29.5","","47.5","","0.0","","","","","","","","","","","","",""
"1968-01-18","1968","01","18","","-21.1","","-32.8","","-27.0","","45.0","","0.0","","","","","","","","","","","","",""
"1968-01-19","1968","01","19","","-11.1","","-26.7","","-18.9","","36.9","","0.0","","","","","","","","","","","","",""
"1968-01-20","1968","01","20","","-6.7","","-18.9","","-12.8","","30.8","","0.0","","","","","","","","","","","","",""
"1968-01-21","1968","01","21","","-7.8","","-17.8","","-12.8","","30.8","","0.0","","","","","","","","","","","","",""
"1968-01-22","1968","01","22","","5.0","","-11.1","","-3.1","","21.1","","0.0","","","","","","","","","","","","",""
"1968-01-23","1968","01","23","","3.3","","-7.2","","-2.0","","20.0","","0.0","","","","","","","","","","","","",""
"1968-01-24","1968","01","24","","-6.1","","-18.3","","-12.2","","30.2","","0.0","","","","","","","","","","","","",""
"1968-01-25","1968","01","25","","-21.1","","-33.9","","-27.5","","45.5","","0.0","","","","","","","","","","","","",""
"1968-01-26","1968","01","26","","-16.7","","-33.9","","-25.3","","43.3","","0.0","","","","","","","","","","","","",""
"1968-01-27","1968","01","27","","-11.1","","-17.8","","-14.5","","32.5","","0.0","","","","","","","","","","","","",""
"1968-01-28","1968","01","28","","-10.0","","-12.8","","-11.4","","29.4","","0.0","","","","","","","","","","","","",""
"1968-01-29","1968","01","29","","-7.8","","-14.4","","-11.1","","29.1","","0.0","","","","","","","","","","","","",""
"1968-01-30","1968","01","30","","-23.3","","-29.4","","-26.4","","44.4","","0.0","","","","","","","","","","","","",""
"1968-01-31","1968","01","31","","-31.1","","-38.9","","-35.0","","53.0","","0.0","","","","","","","","","","","","",""
"1968-02-01","1968","02","01","","-36.7","","-47.8","","-42.3","","60.3","","0.0","","","","","","","","","","","","",""
"1968-02-02","1968","02","02","","-42.8","","-50.0","","-46.4","","64.4","","0.0","","","","","","","","","","","","",""
"1968-02-03","1968","02","03","","-37.2","","-51.2","","-44.2","","62.2","","0.0","","","","","","","","","","","","",""
"1968-02-04","1968","02","04","","-28.3","","-42.8","","-35.6","","53.6","","0.0","","","","","","","","","","","","",""
"1968-02-05","1968","02","05","","-18.3","","-31.7","","-25.0","","43.0","","0.0","","","","","","","","","","","","",""
"1968-02-06","1968","02","06","","4.4","","-23.3","","-9.5","","27.5","","0.0","","","","","","","","","","","","",""
"1968-02-07","1968","02","07","","6.7","","1.1","","3.9","","14.1","","0.0","","","","","","","","","","","","",""
"1968-02-08","1968","02","08","","6.1","","2.2","","4.2","","13.8","","0.0","","","","","","","","","","","","",""
"1968-02-09","1968","02","09","","8.3","","3.9","","6.1","","11.9","","0.0","","","","","","","","","","","","",""
"1968-02-10","1968","02","10","","7.2","","2.2","","4.7","","13.3","","0.0","","","","","","","","","","","","",""
"1968-02-11","1968","02","11","","1.7","","-8.9","","-3.6","","21.6","","0.0","","","","","","","","","","","","",""
"1968-02-12","1968","02","12","","-2.2","","-13.9","","-8.1","","26.1","","0.0","","","","","","","","","","","","",""
"1968-02-13","1968","02","13","","-3.9","","-19.4","","-11.7","","29.7","","0.0","","","","","","","","","","","","",""
"1968-02-14","1968","02","14","","-8.3","","-19.4","","-13.9","","31.9","","0.0","","","","","","","","","","","","",""
"1968-02-15","1968","02","15","","-7.2","","-18.9","","-13.1","","31.1","","0.0","","","","","","","","","","","","",""
"1968-02-16","1968","02","16","","-4.4","","-11.7","","-8.1","","26.1","","0.0","","","","","","","","","","","","",""
"1968-02-17","1968","02","17","","-9.4","","-10.6","","-10.0","","28.0","","0.0","","","","","","","","","","","","",""
"1968-02-18","1968","02","18","","-12.2","","-14.4","","-13.3","","31.3","","0.0","","","","","","","","","","","","",""
"1968-02-19","1968","02","19","","-12.8","","-17.2","","-15.0","","33.0","","0.0","","","","","","","","","","","","",""
"1968-02-20","1968","02","20","","-3.3","","-13.9","","-8.6","","26.6","","0.0","","","","","","","","","","","","",""
"1968-02-21","1968","02","21","","3.9","","-7.8","","-2.0","","20.0","","0.0","","","","","","","","","","","","",""
"1968-02-22","1968","02","22","","5.0","","0.6","","2.8","","15.2","","0.0","","","","","","","","","","","","",""
"1968-02-23","1968","02","23","","5.6","","-2.8","","1.4","","16.6","","0.0","","","","","","","","","","","","",""
"1968-02-24","1968","02","24","","0.0","","-14.4","","-7.2","","25.2","","0.0","","","","","","","","","","","","",""
"1968-02-25","1968","02","25","","1.7","","-14.4","","-6.4","","24.4","","0.0","","","","","","","","","","","","",""
"1968-02-26","1968","02","26","","10.6","","-5.0","","2.8","","15.2","","0.0","","","","","","","","","","","","",""
"1968-02-27","1968","02","27","","12.8","","6.1","","9.5","","8.5","","0.0","","","","","","","","","","","","",""
"1968-02-28","1968","02","28","","11.1","","1.1","","6.1","","11.9","","0.0","","","","","","","","","","","","",""
"1968-02-29","1968","02","29","","9.4","","2.8","","6.1","","11.9","","0.0","","","","","","","","","","","","",""
"1968-03-01","1968","03","01","","9.4","","0.6","","5.0","","13.0","","0.0","","","","","","","","","","","","",""
"1968-03-02","1968","03","02","","5.0","","2.2","","3.6","","14.4","","0.0","","","","","","","","","","","","",""
"1968-03-03","1968","03","03","","5.6","","0.6","","3.1","","14.9","","0.0","","","","","","","","","","","","",""
"1968-03-04","1968","03","04","","7.8","","-1.1","","3.4","","14.6","","0.0","","","","","","","","","","","","",""
"1968-03-05","1968","03","05","","6.1","","0.0","","3.1","","14.9","","0.0","","","","","","","","","","","","",""
"1968-03-06","1968","03","06","","7.2","","-1.1","","3.1","","14.9","","0.0","","","","","","","","","","","","",""
"1968-03-07","1968","03","07","","5.0","","-9.4","","-2.2","","20.2","","0.0","","","","","","","","","","","","",""
"1968-03-08","1968","03","08","","6.1","","-5.0","","0.6","","17.4","","0.0","","","","","","","","","","","","",""
"1968-03-09","1968","03","09","","5.6","","-8.3","","-1.4","","19.4","","0.0","","","","","","","","","","","","",""
"1968-03-10","1968","03","10","","5.0","","-11.1","","-3.1","","21.1","","0.0","","","","","","","","","","","","",""
"1968-03-11","1968","03","11","","2.2","","-14.4","","-6.1","","24.1","","0.0","","","","","","","","","","","","",""
"1968-03-12","1968","03","12","","-2.8","","-6.1","","-4.5","","22.5","","0.0","","","","","","","","","","","","",""
"1968-03-13","1968","03","13","","-1.7","","-8.9","","-5.3","","23.3","","0.0","","","","","","","","","","","","",""
"1968-03-14","1968","03","14","","0.6","","-11.1","","-5.3","","23.3","","0.0","","","","","","","","","","","","",""
"1968-03-15","1968","03","15","","-5.6","","-10.0","","-7.8","","25.8","","0.0","","","","","","","","","","","","",""
"1968-03-16","1968","03","16","","-7.8","","-25.0","","-16.4","","34.4","","0.0","","","","","","","","","","","","",""
"1968-03-17","1968","03","17","","-10.0","","-27.2","","-18.6","","36.6","","0.0","","","","","","","","","","","","",""
"1968-03-18","1968","03","18","","-3.9","","-18.3","","-11.1","","29.1","","0.0","","","","","","","","","","","","",""
"1968-03-19","1968","03","19","","-3.3","","-11.7","","-7.5","","25.5","","0.0","","","","","","","","","","","","",""
"1968-03-20","1968","03","20","","7.2","","-5.6","","0.8","","17.2","","0.0","","","","","","","","","","","","",""
"1968-03-21","1968","03","21","","10.0","","3.3","","6.7","","11.3","","0.0","","","","","","","","","","","","",""
"1968-03-22","1968","03","22","","6.7","","0.0","","3.4","","14.6","","0.0","","","","","","","","","","","","",""
"1968-03-23","1968","03","23","","5.0","","-1.7","","1.7","","16.3","","0.0","","","","","","","","","","","","",""
"1968-03-24","1968","03","24","","3.9","","-13.3","","-4.7","","22.7","","0.0","","","","","","","","","","","","",""
"1968-03-25","1968","03","25","","2.2","","-10.6","","-4.2","","22.2","","0.0","","","","","","","","","","","","",""
